id,title,category,price,currency,in_stock,image_url,tags,description
101532,Classic Next Generation Athlete Backpack,Bags,$50.00,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/gen_gptimage_1/bags/variants/101532_0_image.webp,"training|travel|recycled","Roomy Adidas backpack with a padded laptop compartment"
101532-legacy,Classic Next Generation Athlete Backpack,Backpacks,50.00,USD,yes,,"duplicate? | training | travel","Same product submitted from the prospect's legacy catalog"
109558,Victorinox Unisex Black Travel Companion 3-Way Carry Messenger Bag,Travel Accessories,EUR 71.00,EUR,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/109558_image.webp,"travel,premium,messenger","Premium travel companion bag submitted with an unsupported currency"
101366,,Duffel Bags,40.00,USD,false,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/gen_gptimage_1/bags/variants/101366_0_image.webp,"gym|travel|recycled","Adidas 4ATHLTS ID Duffel Bag submitted without a product name"
101461,Classic Waist Bag,Waist Bags,free,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/gen_gptimage_1/bags/variants/101461_0_image.webp,"travel,casual","Promo item with a non-numeric price"
101468,Waist Bag,Bags,"1,299.00",USD,in stock,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/gen_gptimage_1/bags/variants/101468_0_image.webp,"premium,travel,recycled","Waist bag with a suspiciously high exported price"
101291,Tour Camo-Print Hat,Hats,$0,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/101291_image.webp,"golf|summer|seasonal","Camo-print golf hat with a zero price exported from staging"
101302,Conext 21 Mini Ball,Sports Equipment,33.00,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/101302_image.webp,"soccer|sport|gift","Mini soccer ball suitable for an active lifestyle campaign"
101533,Real Madrid Scarf,Scarves,22.00,USD,0,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/101533_image.webp,"soccer,winter,seasonal","Club scarf currently marked out of stock"
101288,Athletic Cushioned Crew Socks 6 Pairs,Socks,,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/101288_image.webp,"training|running|apparel","Athletic crew socks submitted without a price"
109222,Debug Test Product - SCHARF Belt,Internal,36.00,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/109222_image.webp,"debug|internal|belt","Internal QA version of the SCHARF solid belt"
109224,Gift Card - Tommy Hilfiger Wallet,Gift Cards,35.00,USD,true,https://pacific-demo-data.bloomreach.cloud/apparel/images/webp/109224_image.webp,"exclude-from-demo|gift|wallet","Gift-card placeholder created from a wallet catalog record"
